orig.ident	nReads	nGene	celltype
lung_SmartSeq2_Smart-seq2_C14.MAA000526.3_9_M.1.1	Smart-seq2	981712	3441	FB_adventitial
lung_SmartSeq2_Smart-seq2_E2.MAA000526.3_9_M.1.1	Smart-seq2	764064	2176	Endo_capillary
lung_SmartSeq2_Smart-seq2_K7.MAA000526.3_9_M.1.1	Smart-seq2	443230	1692	Endo_capillary
lung_SmartSeq2_Smart-seq2_F14.MAA000526.3_9_M.1.1	Smart-seq2	575324	2564	Pericyte
lung_SmartSeq2_Smart-seq2_H6.MAA000526.3_9_M.1.1	Smart-seq2	594517	1775	Endo_capillary
lung_SmartSeq2_Smart-seq2_M1.MAA000526.3_9_M.1.1	Smart-seq2	1217721	5665	Pericyte
lung_SmartSeq2_Smart-seq2_N9.MAA000526.3_9_M.1.1	Smart-seq2	690886	2788	Endo_arterial
lung_SmartSeq2_Smart-seq2_O20.MAA000526.3_9_M.1.1	Smart-seq2	548670	2691	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_I18.MAA000526.3_9_M.1.1	Smart-seq2	754756	3210	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_B5.MAA000526.3_9_M.1.1	Smart-seq2	902136	2518	Endo_LEC
lung_SmartSeq2_Smart-seq2_K8.MAA000526.3_9_M.1.1	Smart-seq2	675322	2875	Endo_LEC
lung_SmartSeq2_Smart-seq2_M2.MAA000526.3_9_M.1.1	Smart-seq2	709121	1607	FB_alveolar
lung_SmartSeq2_Smart-seq2_N10.MAA000526.3_9_M.1.1	Smart-seq2	919641	2964	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_O21.MAA000526.3_9_M.1.1	Smart-seq2	163838	1133	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_E3.MAA000526.3_9_M.1.1	Smart-seq2	849639	3486	Epi_AT2
lung_SmartSeq2_Smart-seq2_A1.MAA000526.3_9_M.1.1	Smart-seq2	1953155	3596	FB_alveolar
lung_SmartSeq2_Smart-seq2_B6.MAA000526.3_9_M.1.1	Smart-seq2	86848	1236	Endo_capillary
lung_SmartSeq2_Smart-seq2_C19.MAA000526.3_9_M.1.1	Smart-seq2	226099	1306	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_F19.MAA000526.3_9_M.1.1	Smart-seq2	558611	2168	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_E4.MAA000526.3_9_M.1.1	Smart-seq2	1628428	4305	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_H7.MAA000526.3_9_M.1.1	Smart-seq2	772140	2158	Endo_capillary
lung_SmartSeq2_Smart-seq2_I19.MAA000526.3_9_M.1.1	Smart-seq2	377863	1694	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_K9.MAA000526.3_9_M.1.1	Smart-seq2	397270	1512	Endo_LEC
lung_SmartSeq2_Smart-seq2_M3.MAA000526.3_9_M.1.1	Smart-seq2	673211	3251	Epi_AT2
lung_SmartSeq2_Smart-seq2_N11.MAA000526.3_9_M.1.1	Smart-seq2	1269486	3843	FB_adventitial
lung_SmartSeq2_Smart-seq2_O22.MAA000526.3_9_M.1.1	Smart-seq2	370315	1719	3
lung_SmartSeq2_Smart-seq2_F20.MAA000526.3_9_M.1.1	Smart-seq2	269821	1357	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_H8.MAA000526.3_9_M.1.1	Smart-seq2	402932	1743	Endo_LEC
lung_SmartSeq2_Smart-seq2_A2.MAA000526.3_9_M.1.1	Smart-seq2	737704	1967	Endo_capillary
lung_SmartSeq2_Smart-seq2_B7.MAA000526.3_9_M.1.1	Smart-seq2	563105	1970	Endo_capillary
lung_SmartSeq2_Smart-seq2_C20.MAA000526.3_9_M.1.1	Smart-seq2	971351	2787	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_I20.MAA000526.3_9_M.1.1	Smart-seq2	209695	1232	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_K10.MAA000526.3_9_M.1.1	Smart-seq2	621698	2696	FB_alveolar
